[4811.9402, 'N', 300.8622, 'W', 145531.0]
[4811.9405, 'N', 300.8622, 'W', 145532.0]
[4811.9405, 'N', 300.8622, 'W', 145533.0]
[4811.9411, 'N', 300.862, 'W', 145534.0]
[4811.9415, 'N', 300.8615, 'W', 145535.0]
[4811.9422, 'N', 300.8615, 'W', 145536.0]
[4811.9428, 'N', 300.8619, 'W', 145537.0]
[4811.9434, 'N', 300.8623, 'W', 145538.0]
[4811.9441, 'N', 300.863, 'W', 145539.0]
[4811.9449, 'N', 300.8636, 'W', 145540.0]
[4811.9455, 'N', 300.864, 'W', 145541.0]
[4811.9462, 'N', 300.8645, 'W', 145542.0]
[4811.9469, 'N', 300.8649, 'W', 145543.0]
[4811.9477, 'N', 300.8656, 'W', 145544.0]
