[4811.95, 'N', 300.8944, 'W', 100306.0]
[4811.95, 'N', 300.8944, 'W', 100307.0]
[4811.95, 'N', 300.8944, 'W', 100308.0]
[4811.9497, 'N', 300.895, 'W', 100309.0]
[4811.9495, 'N', 300.8959, 'W', 100310.0]
[4811.9497, 'N', 300.8968, 'W', 100311.0]
[4811.9502, 'N', 300.8972, 'W', 100312.0]
[4811.9509, 'N', 300.8971, 'W', 100313.0]
[4811.9514, 'N', 300.897, 'W', 100314.0]
[4811.9519, 'N', 300.8967, 'W', 100315.0]
[4811.9525, 'N', 300.8963, 'W', 100316.0]
[4811.953, 'N', 300.8959, 'W', 100317.0]
[4811.9536, 'N', 300.8955, 'W', 100318.0]
[4811.9542, 'N', 300.8955, 'W', 100319.0]
[4811.9546, 'N', 300.8955, 'W', 100320.0]
[4811.9551, 'N', 300.8952, 'W', 100321.0]
[4811.9556, 'N', 300.8949, 'W', 100322.0]
[4811.9562, 'N', 300.8947, 'W', 100323.0]
[4811.9566, 'N', 300.8948, 'W', 100324.0]
[4811.9571, 'N', 300.895, 'W', 100325.0]
[4811.9575, 'N', 300.8954, 'W', 100326.0]
[4811.958, 'N', 300.8958, 'W', 100327.0]
[4811.9583, 'N', 300.8964, 'W', 100328.0]
[4811.9585, 'N', 300.897, 'W', 100329.0]
[4811.9588, 'N', 300.8977, 'W', 100330.0]
[4811.9589, 'N', 300.8985, 'W', 100331.0]
[4811.9589, 'N', 300.8993, 'W', 100332.0]
[4811.959, 'N', 300.9001, 'W', 100333.0]
[4811.9591, 'N', 300.9009, 'W', 100334.0]
[4811.9592, 'N', 300.9017, 'W', 100335.0]
[4811.9593, 'N', 300.9024, 'W', 100336.0]
[4811.9593, 'N', 300.9032, 'W', 100337.0]
[4811.9594, 'N', 300.9039, 'W', 100338.0]
[4811.9595, 'N', 300.9046, 'W', 100339.0]
[4811.9598, 'N', 300.9053, 'W', 100340.0]
[4811.9602, 'N', 300.9058, 'W', 100341.0]
[4811.9606, 'N', 300.9062, 'W', 100342.0]
[4811.9609, 'N', 300.9066, 'W', 100343.0]
[4811.9614, 'N', 300.907, 'W', 100344.0]
[4811.9618, 'N', 300.9074, 'W', 100345.0]
[4811.9624, 'N', 300.9076, 'W', 100346.0]
[4811.9629, 'N', 300.9078, 'W', 100347.0]
[4811.9634, 'N', 300.9079, 'W', 100348.0]
[4811.964, 'N', 300.9079, 'W', 100349.0]
[4811.9645, 'N', 300.9078, 'W', 100350.0]
[4811.965, 'N', 300.9079, 'W', 100351.0]
[4811.9655, 'N', 300.9081, 'W', 100352.0]
[4811.9661, 'N', 300.9081, 'W', 100353.0]
[4811.9666, 'N', 300.9082, 'W', 100354.0]
[4811.9671, 'N', 300.9082, 'W', 100355.0]
[4811.9676, 'N', 300.9083, 'W', 100356.0]
[4811.9681, 'N', 300.9085, 'W', 100357.0]
[4811.9686, 'N', 300.9088, 'W', 100358.0]
[4811.969, 'N', 300.9093, 'W', 100359.0]
[4811.9694, 'N', 300.9099, 'W', 100400.0]
[4811.9698, 'N', 300.9106, 'W', 100401.0]
[4811.9701, 'N', 300.9112, 'W', 100402.0]
[4811.9704, 'N', 300.9119, 'W', 100403.0]
[4811.9705, 'N', 300.9126, 'W', 100404.0]
[4811.9706, 'N', 300.9134, 'W', 100405.0]
[4811.9705, 'N', 300.9142, 'W', 100406.0]
[4811.9704, 'N', 300.915, 'W', 100407.0]
[4811.9704, 'N', 300.9158, 'W', 100408.0]
[4811.9704, 'N', 300.9166, 'W', 100409.0]
[4811.9703, 'N', 300.9174, 'W', 100410.0]
[4811.9702, 'N', 300.9182, 'W', 100411.0]
[4811.9701, 'N', 300.919, 'W', 100412.0]
[4811.9699, 'N', 300.9197, 'W', 100413.0]
[4811.9698, 'N', 300.9205, 'W', 100414.0]
[4811.9698, 'N', 300.9213, 'W', 100415.0]
[4811.9696, 'N', 300.922, 'W', 100416.0]
[4811.9695, 'N', 300.9227, 'W', 100417.0]
[4811.9694, 'N', 300.9234, 'W', 100418.0]
[4811.9694, 'N', 300.924, 'W', 100419.0]
[4811.9697, 'N', 300.9246, 'W', 100420.0]
[4811.9699, 'N', 300.9252, 'W', 100421.0]
[4811.9703, 'N', 300.9257, 'W', 100422.0]
[4811.9708, 'N', 300.926, 'W', 100423.0]
[4811.9713, 'N', 300.9262, 'W', 100424.0]
[4811.9718, 'N', 300.9263, 'W', 100425.0]
[4811.9724, 'N', 300.9265, 'W', 100426.0]
[4811.9729, 'N', 300.9265, 'W', 100427.0]
[4811.9735, 'N', 300.9265, 'W', 100428.0]
[4811.974, 'N', 300.9264, 'W', 100429.0]
[4811.9745, 'N', 300.9262, 'W', 100430.0]
[4811.975, 'N', 300.9259, 'W', 100431.0]
[4811.9756, 'N', 300.9255, 'W', 100432.0]
[4811.9762, 'N', 300.9252, 'W', 100433.0]
[4811.9767, 'N', 300.9247, 'W', 100434.0]
[4811.9769, 'N', 300.9239, 'W', 100435.0]
[4811.977, 'N', 300.9231, 'W', 100436.0]
[4811.9769, 'N', 300.9224, 'W', 100437.0]
[4811.9769, 'N', 300.9217, 'W', 100438.0]
[4811.9768, 'N', 300.9209, 'W', 100439.0]
[4811.9767, 'N', 300.9202, 'W', 100440.0]
[4811.9767, 'N', 300.9194, 'W', 100441.0]
[4811.9767, 'N', 300.9187, 'W', 100442.0]
