[4811.9485, 'N', 300.8833, 'W', 153625.0]
[4811.949, 'N', 300.8842, 'W', 153626.0]
[4811.9492, 'N', 300.8847, 'W', 153627.0]
[4811.9494, 'N', 300.8852, 'W', 153628.0]
[4811.9496, 'N', 300.886, 'W', 153629.0]
[4811.9498, 'N', 300.8866, 'W', 153630.0]
[4811.95, 'N', 300.8873, 'W', 153631.0]
[4811.9501, 'N', 300.888, 'W', 153632.0]
[4811.9503, 'N', 300.8888, 'W', 153633.0]
[4811.9505, 'N', 300.8899, 'W', 153634.0]
[4811.9507, 'N', 300.8908, 'W', 153635.0]
[4811.9509, 'N', 300.8914, 'W', 153636.0]
[4811.9512, 'N', 300.892, 'W', 153637.0]
[4811.9516, 'N', 300.8924, 'W', 153638.0]
[4811.9519, 'N', 300.8928, 'W', 153639.0]
[4811.9523, 'N', 300.8932, 'W', 153640.0]
[4811.9528, 'N', 300.8935, 'W', 153641.0]
[4811.9532, 'N', 300.8939, 'W', 153642.0]
[4811.9537, 'N', 300.8943, 'W', 153643.0]
[4811.9543, 'N', 300.8944, 'W', 153644.0]
[4811.9548, 'N', 300.8946, 'W', 153645.0]
[4811.9551, 'N', 300.8943, 'W', 153646.0]
[4811.9553, 'N', 300.894, 'W', 153647.0]
[4811.9556, 'N', 300.8938, 'W', 153648.0]
[4811.9559, 'N', 300.8938, 'W', 153649.0]
[4811.9562, 'N', 300.8938, 'W', 153650.0]
[4811.9565, 'N', 300.8938, 'W', 153651.0]
[4811.9567, 'N', 300.8935, 'W', 153652.0]
[4811.9569, 'N', 300.8932, 'W', 153653.0]
[4811.9572, 'N', 300.8928, 'W', 153654.0]
[4811.9574, 'N', 300.8925, 'W', 153655.0]
[4811.9577, 'N', 300.8922, 'W', 153656.0]
[4811.958, 'N', 300.8919, 'W', 153657.0]
[4811.9581, 'N', 300.8918, 'W', 153658.0]
[4811.9583, 'N', 300.8917, 'W', 153659.0]
[4811.9586, 'N', 300.8918, 'W', 153700.0]
[4811.9588, 'N', 300.8918, 'W', 153701.0]
[4811.9591, 'N', 300.8919, 'W', 153702.0]
[4811.9594, 'N', 300.892, 'W', 153703.0]
[4811.9596, 'N', 300.892, 'W', 153704.0]
[4811.9598, 'N', 300.8918, 'W', 153705.0]
[4811.96, 'N', 300.8916, 'W', 153706.0]
[4811.9601, 'N', 300.8914, 'W', 153707.0]
[4811.9602, 'N', 300.8912, 'W', 153708.0]
[4811.9602, 'N', 300.8909, 'W', 153709.0]
[4811.9602, 'N', 300.8906, 'W', 153710.0]
[4811.9602, 'N', 300.8902, 'W', 153711.0]
[4811.9601, 'N', 300.8897, 'W', 153712.0]
[4811.9601, 'N', 300.8892, 'W', 153713.0]
[4811.96, 'N', 300.8888, 'W', 153714.0]
[4811.9598, 'N', 300.8884, 'W', 153715.0]
