[4811.9502, 'N', 300.8829, 'W', 133042.0]45
[4811.9502, 'N', 300.8829, 'W', 133043.0]45
[4811.9502, 'N', 300.8829, 'W', 133044.0]45
[4811.9502, 'N', 300.8829, 'W', 133045.0]45
[4811.9502, 'N', 300.8829, 'W', 133046.0]45
[4811.9502, 'N', 300.8829, 'W', 133047.0]45
[4811.9502, 'N', 300.8829, 'W', 133048.0]-135
[4811.9502, 'N', 300.8829, 'W', 133049.0]-135
[4811.9502, 'N', 300.8829, 'W', 133050.0]-135
[4811.9503, 'N', 300.8829, 'W', 133051.0]-135
[4811.9501, 'N', 300.8835, 'W', 133052.0]-135
[4811.95, 'N', 300.8842, 'W', 133053.0]-135
[4811.95, 'N', 300.8846, 'W', 133054.0]-135
[4811.95, 'N', 300.8855, 'W', 133055.0]-135
