[4811.9307, 'N', 300.9088, 'W', 84235.0]
[4811.9308, 'N', 300.9089, 'W', 84236.0]
[4811.9311, 'N', 300.9092, 'W', 84237.0]
[4811.9316, 'N', 300.9095, 'W', 84238.0]
[4811.9321, 'N', 300.9098, 'W', 84239.0]
[4811.9326, 'N', 300.9103, 'W', 84240.0]
[4811.9331, 'N', 300.9106, 'W', 84241.0]
[4811.9336, 'N', 300.911, 'W', 84242.0]
[4811.9341, 'N', 300.9112, 'W', 84243.0]
[4811.9346, 'N', 300.9114, 'W', 84244.0]
[4811.9351, 'N', 300.9117, 'W', 84245.0]
[4811.9357, 'N', 300.9118, 'W', 84246.0]
[4811.9362, 'N', 300.9119, 'W', 84247.0]
[4811.9367, 'N', 300.9124, 'W', 84248.0]
[4811.9373, 'N', 300.9126, 'W', 84249.0]
[4811.9379, 'N', 300.913, 'W', 84250.0]
[4811.9385, 'N', 300.9132, 'W', 84251.0]
[4811.939, 'N', 300.9135, 'W', 84252.0]
[4811.9396, 'N', 300.9137, 'W', 84253.0]
[4811.9401, 'N', 300.9139, 'W', 84254.0]
[4811.9406, 'N', 300.9141, 'W', 84255.0]
[4811.9412, 'N', 300.9144, 'W', 84256.0]
[4811.9419, 'N', 300.9146, 'W', 84257.0]
[4811.9425, 'N', 300.9147, 'W', 84258.0]
[4811.9431, 'N', 300.9148, 'W', 84259.0]
[4811.9438, 'N', 300.9149, 'W', 84300.0]
[4811.9443, 'N', 300.9149, 'W', 84301.0]
[4811.9449, 'N', 300.9151, 'W', 84302.0]
[4811.9456, 'N', 300.9155, 'W', 84303.0]
[4811.946, 'N', 300.9155, 'W', 84304.0]
[4811.9467, 'N', 300.9156, 'W', 84305.0]
[4811.9474, 'N', 300.916, 'W', 84306.0]
[4811.948, 'N', 300.916, 'W', 84307.0]
[4811.9486, 'N', 300.9163, 'W', 84308.0]
[4811.9493, 'N', 300.9166, 'W', 84309.0]
[4811.9497, 'N', 300.9162, 'W', 84310.0]
[4811.9501, 'N', 300.9161, 'W', 84311.0]
[4811.9508, 'N', 300.9167, 'W', 84312.0]
[4811.9512, 'N', 300.9166, 'W', 84313.0]
[4811.9517, 'N', 300.9164, 'W', 84314.0]
[4811.9521, 'N', 300.9162, 'W', 84315.0]
[4811.9525, 'N', 300.9163, 'W', 84316.0]
[4811.953, 'N', 300.9162, 'W', 84317.0]
[4811.9535, 'N', 300.9163, 'W', 84318.0]
[4811.954, 'N', 300.9164, 'W', 84319.0]
[4811.9546, 'N', 300.9165, 'W', 84320.0]
[4811.9554, 'N', 300.9171, 'W', 84321.0]
[4811.956, 'N', 300.9171, 'W', 84322.0]
[4811.9565, 'N', 300.9172, 'W', 84323.0]
[4811.9573, 'N', 300.9177, 'W', 84324.0]
[4811.9581, 'N', 300.9179, 'W', 84325.0]
