[0.0, 'N', 0.0, 'W', 313.8]
[0.0, 'N', 0.0, 'W', 314.8]
[0.0, 'N', 0.0, 'W', 315.8]
[0.0, 'N', 0.0, 'W', 316.8]
[0.0, 'N', 0.0, 'W', 317.8]
[0.0, 'N', 0.0, 'W', 318.8]
[0.0, 'N', 0.0, 'W', 319.8]
[0.0, 'N', 0.0, 'W', 320.8]
[0.0, 'N', 0.0, 'W', 321.8]
[0.0, 'N', 0.0, 'W', 322.8]
[0.0, 'N', 0.0, 'W', 323.8]
[0.0, 'N', 0.0, 'W', 324.8]
[0.0, 'N', 0.0, 'W', 325.8]
[0.0, 'N', 0.0, 'W', 326.8]
[0.0, 'N', 0.0, 'W', 327.8]
[0.0, 'N', 0.0, 'W', 328.8]
[0.0, 'N', 0.0, 'W', 329.8]
[0.0, 'N', 0.0, 'W', 330.8]
[0.0, 'N', 0.0, 'W', 331.8]
[0.0, 'N', 0.0, 'W', 332.8]
[0.0, 'N', 0.0, 'W', 333.8]
[0.0, 'N', 0.0, 'W', 334.8]
[0.0, 'N', 0.0, 'W', 335.8]
[0.0, 'N', 0.0, 'W', 336.8]
[0.0, 'N', 0.0, 'W', 337.8]
[0.0, 'N', 0.0, 'W', 338.8]
[0.0, 'N', 0.0, 'W', 339.8]
[0.0, 'N', 0.0, 'W', 340.8]
[0.0, 'N', 0.0, 'W', 341.8]
[0.0, 'N', 0.0, 'W', 342.8]
[0.0, 'N', 0.0, 'W', 343.8]
[0.0, 'N', 0.0, 'W', 344.8]
[0.0, 'N', 0.0, 'W', 345.8]
[0.0, 'N', 0.0, 'W', 346.8]
[0.0, 'N', 0.0, 'W', 347.8]
[0.0, 'N', 0.0, 'W', 348.8]
[0.0, 'N', 0.0, 'W', 349.8]
[0.0, 'N', 0.0, 'W', 350.8]
[0.0, 'N', 0.0, 'W', 351.8]
[0.0, 'N', 0.0, 'W', 352.8]
[0.0, 'N', 0.0, 'W', 353.8]
[0.0, 'N', 0.0, 'W', 354.8]
[0.0, 'N', 0.0, 'W', 355.685]
[0.0, 'N', 0.0, 'W', 356.685]
[0.0, 'N', 0.0, 'W', 93244.096]
[0.0, 'N', 0.0, 'W', 93245.096]
[0.0, 'N', 0.0, 'W', 93246.096]
[0.0, 'N', 0.0, 'W', 93247.096]
[0.0, 'N', 0.0, 'W', 93248.096]
[0.0, 'N', 0.0, 'W', 93249.096]
[0.0, 'N', 0.0, 'W', 93250.096]
[0.0, 'N', 0.0, 'W', 93251.096]
[0.0, 'N', 0.0, 'W', 93252.096]
[0.0, 'N', 0.0, 'W', 93253.096]
[0.0, 'N', 0.0, 'W', 93254.096]
[0.0, 'N', 0.0, 'W', 93255.096]
[0.0, 'N', 0.0, 'W', 93256.096]
[0.0, 'N', 0.0, 'W', 93257.096]
[0.0, 'N', 0.0, 'W', 93258.096]
[0.0, 'N', 0.0, 'W', 93259.096]
[0.0, 'N', 0.0, 'W', 93300.085]
[0.0, 'N', 0.0, 'W', 93300.304]
[0.0, 'N', 0.0, 'W', 93301.304]
[0.0, 'N', 0.0, 'W', 93302.304]
[0.0, 'N', 0.0, 'W', 93303.304]
[0.0, 'N', 0.0, 'W', 93304.304]
[0.0, 'N', 0.0, 'W', 93305.304]
[0.0, 'N', 0.0, 'W', 93306.088]
[0.0, 'N', 0.0, 'W', 93306.309]
[0.0, 'N', 0.0, 'W', 93307.309]
[0.0, 'N', 0.0, 'W', 93308.309]
[0.0, 'N', 0.0, 'W', 93309.309]
[0.0, 'N', 0.0, 'W', 93310.309]
[0.0, 'N', 0.0, 'W', 93311.309]
[0.0, 'N', 0.0, 'W', 93312.099]
[0.0, 'N', 0.0, 'W', 93313.099]
[0.0, 'N', 0.0, 'W', 93314.099]
[0.0, 'N', 0.0, 'W', 93315.099]
[0.0, 'N', 0.0, 'W', 93316.099]
[0.0, 'N', 0.0, 'W', 93317.099]
[0.0, 'N', 0.0, 'W', 93318.099]
[0.0, 'N', 0.0, 'W', 93319.099]
[0.0, 'N', 0.0, 'W', 93320.099]
[0.0, 'N', 0.0, 'W', 93321.099]
[0.0, 'N', 0.0, 'W', 93322.099]
[0.0, 'N', 0.0, 'W', 93323.099]
[0.0, 'N', 0.0, 'W', 93324.085]
[0.0, 'N', 0.0, 'W', 93324.304]
[0.0, 'N', 0.0, 'W', 93325.304]
[0.0, 'N', 0.0, 'W', 93326.304]
[0.0, 'N', 0.0, 'W', 93327.304]
[0.0, 'N', 0.0, 'W', 93328.304]
[0.0, 'N', 0.0, 'W', 93329.304]
[0.0, 'N', 0.0, 'W', 93330.081]
[0.0, 'N', 0.0, 'W', 93330.301]
[0.0, 'N', 0.0, 'W', 93332.0]
[4825.0853, 'N', 428.3994, 'W', 93333.0]
[4825.0853, 'N', 428.4004, 'W', 93334.0]
[4825.0852, 'N', 428.4015, 'W', 93335.0]
[4825.0854, 'N', 428.4027, 'W', 93336.0]
[4825.0855, 'N', 428.403, 'W', 93336.215]
[4825.0856, 'N', 428.4049, 'W', 93338.0]
[4825.0857, 'N', 428.4057, 'W', 93339.0]
[4825.0861, 'N', 428.4067, 'W', 93340.0]
[4825.0863, 'N', 428.4078, 'W', 93341.0]
[4825.0863, 'N', 428.4088, 'W', 93342.0]
[4825.0859, 'N', 428.409, 'W', 93342.215]
[4825.0822, 'N', 428.4102, 'W', 93344.0]
[4825.0806, 'N', 428.4116, 'W', 93345.0]
[4825.0811, 'N', 428.413, 'W', 93346.0]
[4825.0814, 'N', 428.4139, 'W', 93347.0]
[4825.0815, 'N', 428.4148, 'W', 93348.0]
[4825.0817, 'N', 428.415, 'W', 93348.215]
[4825.0823, 'N', 428.4166, 'W', 93350.0]
[4825.0822, 'N', 428.4174, 'W', 93351.0]
[4825.0822, 'N', 428.4181, 'W', 93352.0]
[4825.0821, 'N', 428.4189, 'W', 93353.0]
